time,stapm_value,ppt_limit_fast,ppt_value_fast,ppt_limit_slow,ppt_value_slow,ppt_value_apu
22/02/2025 16:04:19,"2,51",20,"2,963",20,"2,639","2,639"
22/02/2025 16:04:20,"2,513",20,"3,968",20,"2,741","2,741"
22/02/2025 16:04:21,"2,515",20,"2,153",20,"2,787","2,787"
22/02/2025 16:04:23,"2,515",20,"1,983",20,"2,75","2,75"
22/02/2025 16:04:24,"2,514",20,"1,967",20,"2,636","2,636"
22/02/2025 16:04:25,"2,515",20,"2,565",20,"2,676","2,676"
22/02/2025 16:04:26,"2,514",20,"2,006",20,"2,584","2,584"
22/02/2025 16:04:27,"2,513",20,"2,078",20,"2,546","2,547"
22/02/2025 16:04:28,"2,513",20,"2,33",20,"2,528","2,528"
22/02/2025 16:04:29,"2,512",20,"1,836",20,"2,507","2,508"
22/02/2025 16:04:30,"2,512",20,"1,765",20,"2,482","2,483"
22/02/2025 16:04:31,"2,511",20,"1,855",20,"2,457","2,458"
22/02/2025 16:04:32,"2,511",20,"2,085",20,"2,437","2,438"
22/02/2025 16:04:33,"2,511",20,"2,046",20,"2,415","2,417"
22/02/2025 16:04:34,"2,51",20,"1,805",20,"2,385","2,386"
22/02/2025 16:04:35,"2,509",20,"1,776",20,"2,36","2,361"
22/02/2025 16:04:36,"2,509",20,"3,498",20,"2,35","2,352"
22/02/2025 16:04:37,"2,508",20,"1,899",20,"2,323","2,324"
22/02/2025 16:04:38,"2,508",20,"1,781",20,"2,293","2,295"
22/02/2025 16:04:39,"2,507",20,"1,799",20,"2,268","2,27"
22/02/2025 16:04:40,"2,506",20,"2,322",20,"2,251","2,253"
22/02/2025 16:04:41,"2,506",20,"2,034",20,"2,23","2,232"
22/02/2025 16:04:42,"2,505",20,"2,178",20,"2,222","2,224"
22/02/2025 16:04:43,"2,504",20,"2,246",20,"2,215","2,216"
22/02/2025 16:04:44,"2,503",20,"2,197",20,"2,198","2,199"
22/02/2025 16:04:45,"2,503",20,"3,823",20,"2,239","2,24"
22/02/2025 16:04:46,"2,502",20,"1,85",20,"2,238","2,239"
22/02/2025 16:04:47,"2,502",20,"1,861",20,"2,256","2,257"
22/02/2025 16:04:49,"2,501",20,"1,853",20,"2,261","2,262"
22/02/2025 16:04:50,"2,5",20,"1,799",20,"2,226","2,227"
22/02/2025 16:04:51,"2,498",20,"1,781",20,"2,19","2,191"
22/02/2025 16:04:52,"2,497",20,"1,813",20,"2,171","2,172"
22/02/2025 16:04:53,"2,497",20,"1,761",20,"2,154","2,155"
22/02/2025 16:04:54,"2,496",20,"2,009",20,"2,135","2,135"
22/02/2025 16:04:55,"2,496",20,"1,772",20,"2,119","2,12"
22/02/2025 16:04:56,"2,495",20,"1,985",20,"2,103","2,104"
22/02/2025 16:04:57,"2,494",20,"1,807",20,"2,088","2,089"
22/02/2025 16:04:58,"2,743",20,"2,291",20,"2,28","2,281"
22/02/2025 16:04:59,"2,493",20,"2,559",20,"2,068","2,07"
22/02/2025 16:05:00,"2,493",20,"2,352",20,"2,065","2,066"
22/02/2025 16:05:01,"2,492",20,"1,792",20,"2,051","2,052"
22/02/2025 16:05:02,"2,491",20,"1,789",20,"2,035","2,036"
22/02/2025 16:05:03,"2,491",20,"2,399",20,"2,022","2,023"
22/02/2025 16:05:04,"2,491",20,"2,315",20,"2,109","2,11"
22/02/2025 16:05:05,"2,491",20,"1,744",20,"2,114","2,115"
22/02/2025 16:05:06,"2,49",20,"2,852",20,"2,135","2,136"
22/02/2025 16:05:07,"2,49",20,"1,999",20,"2,209","2,21"
22/02/2025 16:05:08,"2,49",20,"2,365",20,"2,193","2,194"
22/02/2025 16:05:09,"2,49",20,"2,028",20,"2,237","2,238"
22/02/2025 16:05:10,"2,489",20,"2,032",20,"2,217","2,218"
22/02/2025 16:05:11,"2,488",20,"2,396",20,"2,215","2,216"
22/02/2025 16:05:12,"2,487",20,"2,12",20,"2,221","2,221"
22/02/2025 16:05:13,"2,487",20,"1,779",20,"2,202","2,203"
22/02/2025 16:05:15,"2,734",20,"2,439",20,"2,392","2,392"
22/02/2025 16:05:16,"2,485",20,"2,528",20,"2,184","2,185"
22/02/2025 16:05:17,"2,486",20,"2,662",20,"2,284","2,285"
22/02/2025 16:05:18,"2,485",20,"2,982",20,"2,313","2,313"
22/02/2025 16:05:19,"2,486",20,"2,908",20,"2,396","2,396"
22/02/2025 16:05:20,"2,485",20,"2,029",20,"2,363","2,363"
22/02/2025 16:05:21,"2,485",20,"1,858",20,"2,327","2,327"
